QueryId,DocumentId,Relevance
INEX_LD-2009039,<dbpedia:Aedicula>,2
INEX_LD-2009039,<dbpedia:Ancient_Roman_architecture>,2
INEX_LD-2009039,<dbpedia:Aqueduct_of_Segovia>,2
INEX_LD-2009039,<dbpedia:Architecture_of_Provence>,2
INEX_LD-2009039,<dbpedia:Architecture_of_Rome>,2
INEX_LD-2009039,<dbpedia:Basilica>,2
INEX_LD-2009039,<dbpedia:Coffer>,2
INEX_LD-2009039,<dbpedia:Colossus_of_Nero>,2
INEX_LD-2009039,<dbpedia:Column_of_Marcus_Aurelius>,2
INEX_LD-2009039,<dbpedia:Column_of_Phocas>,2
INEX_LD-2009039,<dbpedia:Cryptoporticus>,2
INEX_LD-2009039,<dbpedia:De_architectura>,2
INEX_LD-2009039,<dbpedia:Eifel_Aqueduct>,2
INEX_LD-2009039,<dbpedia:Flavian_Palace>,2
INEX_LD-2009039,<dbpedia:Hadrian's_Villa>,2
INEX_LD-2009039,<dbpedia:Insula_(building)>,2
INEX_LD-2009039,<dbpedia:List_of_Roman_bridges>,2
INEX_LD-2009039,<dbpedia:List_of_Roman_domes>,2
INEX_LD-2009039,<dbpedia:Opus_latericium>,2
INEX_LD-2009039,<dbpedia:Opus_mixtum>,2
INEX_LD-2009039,<dbpedia:Opus_reticulatum>,2
INEX_LD-2009039,<dbpedia:Peribolos>,2
INEX_LD-2009039,<dbpedia:Peristyle>,2
INEX_LD-2009039,<dbpedia:Porta_Nigra>,2
INEX_LD-2009039,<dbpedia:Roman_Architectural_Revolution>,2
INEX_LD-2009039,<dbpedia:Roman_bridge>,2
INEX_LD-2009039,<dbpedia:Roman_temple>,2
INEX_LD-2009039,<dbpedia:Romanesque_architecture>,2
INEX_LD-2009039,<dbpedia:Temple_of_Antoninus_and_Faustina>,2
INEX_LD-2009039,<dbpedia:Temple_of_Venus_Genetrix>,2
INEX_LD-2009039,<dbpedia:Temple_of_Venus_and_Roma>,2
INEX_LD-2009039,<dbpedia:Temple_of_Vesta>,2
INEX_LD-2009039,<dbpedia:Tower_of_Hercules>,2
INEX_LD-2009039,<dbpedia:Triumphal_arch>,2
INEX_LD-2009039,<dbpedia:Villa_Jovis>,2
INEX_LD-2009039,<dbpedia:Villa_of_the_Mysteries>,2
INEX_LD-2009039,<dbpedia:Villa_rustica>,2
INEX_LD-2009039,<dbpedia:Aachen_Cathedral>,1
INEX_LD-2009039,<dbpedia:Abacus_(architecture)>,1
INEX_LD-2009039,<dbpedia:Acroterion>,1
INEX_LD-2009039,<dbpedia:Ancient_Rome>,1
INEX_LD-2009039,<dbpedia:Aqua_Claudia>,1
INEX_LD-2009039,<dbpedia:Arch>,1
INEX_LD-2009039,<dbpedia:Arch_bridge>,1
INEX_LD-2009039,<dbpedia:Architecture_of_Scotland_in_the_Roman_era>,1
INEX_LD-2009039,<dbpedia:Architecture_of_the_United_Kingdom>,1
INEX_LD-2009039,<dbpedia:Arnes_de_Lutce>,1
INEX_LD-2009039,<dbpedia:Augusta_Raurica>,1
INEX_LD-2009039,<dbpedia:Barrel_vault>,1
INEX_LD-2009039,"<dbpedia:Basilica_of_San_Lorenzo,_Milan>",1
INEX_LD-2009039,<dbpedia:Baths_of_Agrippa>,1
INEX_LD-2009039,<dbpedia:Baths_of_Trajan>,1
INEX_LD-2009039,<dbpedia:Byzantine_architecture>,1
INEX_LD-2009039,<dbpedia:Campus_Agrippae>,1
INEX_LD-2009039,<dbpedia:Cella>,1
INEX_LD-2009039,"<dbpedia:Church_of_the_Santissima_Annunciata,_Riccia>",1
INEX_LD-2009039,<dbpedia:Classical_architecture>,1
INEX_LD-2009039,<dbpedia:Colonne_di_San_Lorenzo>,1
INEX_LD-2009039,<dbpedia:Colosseum>,1
INEX_LD-2009039,<dbpedia:Corinthian_order>,1
INEX_LD-2009039,<dbpedia:Diocletian's_Palace>,1
INEX_LD-2009039,<dbpedia:Domus>,1
INEX_LD-2009039,<dbpedia:Doric_order>,1
INEX_LD-2009039,<dbpedia:Engaged_column>,1
INEX_LD-2009039,<dbpedia:Exedra>,1
INEX_LD-2009039,<dbpedia:Fishbourne_Roman_Palace>,1
INEX_LD-2009039,<dbpedia:Flavian_Amphitheater_(Pozzuoli)>,1
INEX_LD-2009039,<dbpedia:Forum_of_Augustus>,1
INEX_LD-2009039,<dbpedia:Forum_of_Caesar>,1
INEX_LD-2009039,<dbpedia:Gardens_of_Sallust>,1
INEX_LD-2009039,<dbpedia:Getty_Villa>,1
INEX_LD-2009039,<dbpedia:Glyptothek>,1
INEX_LD-2009039,<dbpedia:Greco-Roman_world>,1
INEX_LD-2009039,<dbpedia:Groin_vault>,1
INEX_LD-2009039,<dbpedia:History_of_Roman_and_Byzantine_domes>,1
INEX_LD-2009039,<dbpedia:History_of_architecture>,1
INEX_LD-2009039,<dbpedia:History_of_lighthouses>,1
INEX_LD-2009039,<dbpedia:Imbrex_and_tegula>,1
INEX_LD-2009039,<dbpedia:Library_of_Celsus>,1
INEX_LD-2009039,<dbpedia:List_of_Roman_dams_and_reservoirs>,1
INEX_LD-2009039,<dbpedia:List_of_Roman_triumphal_arches>,1
INEX_LD-2009039,<dbpedia:List_of_ancient_Greek_and_Roman_monoliths>,1
INEX_LD-2009039,<dbpedia:List_of_ancient_Greek_and_Roman_roofs>,1
INEX_LD-2009039,<dbpedia:List_of_ancient_architectural_records>,1
INEX_LD-2009039,<dbpedia:List_of_ancient_spiral_stairs>,1
INEX_LD-2009039,<dbpedia:List_of_aqueducts_in_the_Roman_Empire>,1
INEX_LD-2009039,<dbpedia:Lullingstone_Roman_Villa>,1
INEX_LD-2009039,<dbpedia:Maison_CarrŽe>,1
INEX_LD-2009039,<dbpedia:Mausoleum_of_Galla_Placidia>,1
INEX_LD-2009039,<dbpedia:Metope_(architecture)>,1
INEX_LD-2009039,<dbpedia:Mondo–edo_Cathedral>,1
INEX_LD-2009039,<dbpedia:Newport_Arch>,1
INEX_LD-2009039,<dbpedia:Opus_incertum>,1
INEX_LD-2009039,<dbpedia:Opus_vittatum>,1
INEX_LD-2009039,<dbpedia:Ostia_Antica>,1
INEX_LD-2009039,<dbpedia:Outline_of_classical_architecture>,1
INEX_LD-2009039,<dbpedia:Palermo_Cathedral>,1
