QueryId,DocumentId
251,clueweb12-0109wb-20-20925
251,clueweb12-1801wb-75-03214
251,clueweb12-1412wb-23-11164
251,clueweb12-1414wb-55-24601
251,clueweb12-1812wb-69-05591
251,clueweb12-1411wb-86-24279
251,clueweb12-0706wb-72-04683
251,clueweb12-0110wb-93-29641
251,clueweb12-0700wb-20-22975
251,clueweb12-0001wb-61-14139
251,clueweb12-1910wb-36-10033
251,clueweb12-1503wb-27-04834
251,clueweb12-1310wb-72-29620
251,clueweb12-0112wb-44-22651
251,clueweb12-0007wb-42-14369
251,clueweb12-1412wb-40-17282
251,clueweb12-0605wb-45-20110
251,clueweb12-1414wb-69-21961
251,clueweb12-0400wb-81-10173
251,clueweb12-1910wb-61-04398
252,clueweb12-0905wb-29-17092
252,clueweb12-1110wb-87-15284
252,clueweb12-0818wb-53-25680
252,clueweb12-0900wb-33-02600
252,clueweb12-0818wb-81-06717
252,clueweb12-0819wb-08-17813
252,clueweb12-1216wb-32-00776
252,clueweb12-0904wb-10-06820
252,clueweb12-0905wb-29-17120
252,clueweb12-0818wb-84-22476
252,clueweb12-1305wb-70-04836
252,clueweb12-1305wb-70-04822
252,clueweb12-0818wb-65-21548
252,clueweb12-0211wb-66-14476
252,clueweb12-1206wb-40-25914
252,clueweb12-0201wb-50-22141
252,clueweb12-0204wb-12-05197
252,clueweb12-0712wb-54-10308
252,clueweb12-0712wb-68-01781
252,clueweb12-0703wb-64-09103
253,clueweb12-1702wb-95-23938
253,clueweb12-1207wb-00-20715
253,clueweb12-1113wb-05-18208
253,clueweb12-1118wb-68-09602
253,clueweb12-1600wb-32-12121
253,clueweb12-1100tw-66-12952
253,clueweb12-0209wb-71-25114
253,clueweb12-1807wb-07-01827
253,clueweb12-1717wb-23-07595
253,clueweb12-0203wb-21-16455
253,clueweb12-1900tw-16-20095
253,clueweb12-0400tw-39-22213
253,clueweb12-0112wb-28-04543
253,clueweb12-1801wb-95-23539
253,clueweb12-0807wb-22-25760
253,clueweb12-0916wb-33-17314
253,clueweb12-1900wb-85-07545
253,clueweb12-1406wb-96-06850
253,clueweb12-1212wb-24-07661
253,clueweb12-0102wb-42-16190
254,clueweb12-0105wb-68-24880
254,clueweb12-1505wb-08-12191
254,clueweb12-0812wb-13-00914
254,clueweb12-1713wb-98-18024
254,clueweb12-1110wb-45-18927
254,clueweb12-0310wb-26-09799
254,clueweb12-0401wb-71-13694
254,clueweb12-0911wb-52-13620
254,clueweb12-0918wb-43-20583
254,clueweb12-0911wb-62-24121
254,clueweb12-0405wb-45-08585
254,clueweb12-0004wb-85-05475
254,clueweb12-0911wb-76-02509
